Time(ms),Ax(g),Ay(g),Az(g)
79668,-0.140,0.388,1.730
79769,0.037,0.524,1.748
79870,0.381,0.563,1.444
79971,0.422,-0.345,0.843
80072,0.606,0.208,0.621
80173,0.836,0.398,0.575
80274,0.922,0.318,0.620
80375,0.872,0.293,0.620
80476,0.656,-0.704,0.275
80577,0.663,-0.490,0.204
80678,0.582,-0.223,0.220
80779,0.674,-0.145,0.250
80880,0.677,0.001,0.314
80981,0.680,0.092,0.475
81082,0.451,-0.546,0.398
81183,0.287,-0.415,0.379
81285,0.262,-0.435,0.989
81386,0.132,-0.254,1.010
81487,-0.052,-0.225,1.037
81588,-0.186,-0.276,1.055
81689,-0.184,-0.750,1.618
81790,-0.252,-0.706,1.622
81891,-0.212,-0.202,1.499
81992,-0.185,0.262,1.400
82093,-0.130,0.626,1.412
82194,-0.257,-0.213,1.970
82295,-0.118,0.041,1.802
82396,0.098,0.281,1.605
82497,0.166,0.622,1.533
82598,0.312,0.702,1.449
82699,0.679,0.265,0.860
82800,0.743,0.466,0.876
82901,0.765,0.716,0.750
83002,0.815,0.854,0.640
83103,0.980,0.851,0.827
83204,0.702,0.088,0.355
83305,0.787,0.048,0.450
83406,0.856,-0.007,0.520
83507,0.866,0.321,0.467
83608,0.867,0.781,0.460
83709,0.610,-0.140,0.216
83810,0.639,-0.007,0.239
83911,0.544,0.072,0.388
84012,0.553,0.430,0.629
84113,0.514,0.691,0.629
84214,0.023,0.278,0.856
84315,0.042,0.575,0.891
84416,0.181,0.710,1.014
84517,0.182,0.897,1.049
84618,0.245,0.600,1.035
84719,0.185,0.304,0.944
84820,0.067,0.592,1.284
84921,-0.001,0.239,1.272
85022,-0.205,0.176,1.157
85123,-0.253,-0.046,1.148
85224,-0.214,-0.372,1.168
85325,0.027,-0.025,1.502
85426,0.167,-0.176,1.306
85527,0.172,-0.080,1.156
85628,0.322,-0.188,1.018
85729,0.429,-0.457,1.033
85830,0.417,-0.316,0.999
85931,0.879,0.792,0.851
86032,0.972,0.680,0.869
86133,0.976,0.580,0.809
86234,0.987,0.395,0.813
86335,1.072,0.020,0.830
86436,0.937,0.783,0.505
86537,1.020,0.704,0.555
86638,1.059,0.679,0.537
86739,1.044,0.580,0.541
86840,1.074,0.108,0.530
86941,0.806,0.789,0.700
87042,0.909,0.415,0.759
87143,0.858,0.193,0.620
87244,0.712,0.131,0.439
87345,0.607,0.125,0.280
87446,0.669,-0.208,0.255
87547,0.314,-0.086,0.694
87648,0.214,0.042,0.567
87749,0.254,0.284,0.622
87850,0.293,0.238,0.706
87951,-0.035,0.412,0.976
88052,-0.091,0.010,1.119
88153,-0.230,0.106,1.464
88254,-0.432,0.299,1.673
88355,-0.667,0.062,1.298
88456,-0.558,0.193,1.419
88557,-0.578,0.032,1.661
88658,-0.436,-0.265,1.561
88759,0.205,-0.681,0.806
88860,0.070,-0.306,0.647
88961,-0.007,-0.016,0.749
89062,0.043,-0.034,0.886
89163,0.181,-0.172,0.978
89264,0.583,-0.583,0.450
89365,0.494,-0.619,0.382
89466,0.482,-0.189,0.281
89567,0.602,0.079,0.364
89668,0.654,-0.205,0.377
89769,0.840,-0.266,0.251
89870,0.929,-0.352,0.163
89971,0.950,-0.325,0.183
90072,0.947,-0.174,0.222
