Time(ms),Ax(g),Ay(g),Az(g)
35792,-0.503,-0.173,1.500
35843,-0.872,0.084,1.566
35893,0.648,0.116,0.993
35945,0.843,-0.138,0.541
35995,1.001,0.606,0.804
36047,0.466,0.525,0.196
36098,0.687,-0.118,0.649
36149,0.190,0.002,0.799
36200,-0.385,1.096,0.996
36257,0.572,-0.542,0.273
36308,0.303,0.720,0.430
36359,0.525,-0.524,0.779
36409,-0.065,0.429,0.886
36461,-0.426,0.764,1.227
36511,-0.511,-0.568,1.832
36563,-1.437,0.283,1.970
36613,0.255,-0.505,1.323
36665,0.145,0.220,0.701
36716,0.574,-0.523,0.355
36767,0.636,-0.223,0.356
36817,0.810,0.648,0.614
36869,0.439,-0.167,0.419
36919,-0.074,-0.507,0.696
36971,-0.833,0.639,1.760
37021,-0.065,-0.422,1.574
37073,-0.672,-0.249,1.612
37124,-1.057,0.396,1.863
37175,0.647,-0.433,0.807
37226,0.592,0.137,1.136
37277,0.971,-0.512,0.345
37327,0.456,0.570,0.351
37379,0.744,-0.071,0.291
37430,0.172,-0.275,0.221
37481,0.201,0.470,0.983
37532,-0.801,0.240,1.970
37583,-0.088,0.511,1.403
37634,-1.481,0.071,1.840
37685,-0.647,-0.479,1.897
37736,0.414,0.015,0.721
37787,0.225,0.680,0.943
37838,1.026,0.144,0.268
37889,0.239,0.151,0.454
37940,0.794,-0.554,0.459
37991,0.299,0.595,1.093
38041,0.060,0.397,0.954
38093,-0.899,-1.058,1.495
38143,-0.341,-0.010,1.276
38195,0.041,-0.435,1.525
38245,0.424,0.729,1.425
38297,0.163,0.459,0.244
38348,0.633,-0.163,0.479
38399,0.705,-0.003,0.559
38450,0.289,0.808,0.552
38501,0.066,-0.613,1.008
38552,-0.352,0.317,1.495
38603,-0.620,-0.397,1.970
38654,-0.941,0.165,1.717
38711,-0.510,1.006,1.022
38762,-0.112,-0.395,1.339
38813,-1.204,0.114,1.970
38864,-0.636,-0.627,1.815
38915,-0.329,0.255,1.404
38965,0.086,-0.505,0.643
39017,0.417,-0.443,0.397
39067,0.928,0.824,0.647
39119,0.649,-0.095,0.355
39169,0.448,-0.563,0.281
39221,0.096,0.694,0.904
39272,0.308,-0.189,0.869
39323,-0.602,-0.073,1.582
39374,-1.185,0.528,1.890
39425,-0.254,-0.483,1.722
39476,-0.050,-0.093,1.882
39527,0.480,-0.156,0.276
39577,0.311,0.221,0.548
39629,1.134,0.154,0.590
39679,0.442,-0.407,0.193
39731,0.554,0.762,0.547
39782,-0.095,0.037,1.163
39833,-0.067,-0.079,1.030
39884,-1.588,0.565,1.880
39939,0.385,0.349,0.304
39990,0.856,-0.153,0.037
40041,0.322,-0.134,0.216
40092,0.427,0.306,0.910
40143,0.193,-0.542,1.041
40193,-0.138,0.385,1.270
40245,-1.778,0.229,1.970
40295,-0.411,-0.738,1.962
40347,0.296,0.186,0.765
40398,-0.263,-0.253,1.565
40449,1.021,0.196,0.515
40499,0.213,0.119,0.538
40551,0.899,-0.568,0.193
40602,0.238,0.420,0.840
40653,0.133,0.064,0.883
40703,-0.381,0.504,1.183
40755,-0.083,-0.401,1.315
40805,-0.290,-0.348,1.782
40857,0.093,0.329,1.547
40907,-0.120,0.815,0.642
40959,0.414,-0.518,0.700
41009,0.588,0.170,0.496
41061,0.508,0.598,0.630
41111,0.609,0.179,0.611
41163,-0.265,0.544,0.971
41214,-0.514,-0.291,1.716
41265,-1.185,0.399,1.970
41316,-0.494,-0.469,1.408
41367,0.361,-0.499,0.856
41418,0.740,0.038,1.036
41469,0.777,-0.040,0.531
41519,0.536,-0.457,0.190
41571,0.456,0.355,0.253
41621,0.661,-0.346,0.675
41673,-0.102,-0.153,1.031
41723,-0.393,0.912,0.905
41775,-0.475,-0.435,1.876
41826,-1.129,0.263,1.970
41877,-0.123,-0.465,1.642
41928,0.184,0.060,0.824
41979,0.370,-0.546,0.397
42029,0.613,-0.284,0.434
42081,0.682,0.685,0.534
42132,0.389,-0.081,0.397
42183,0.264,-0.395,0.583
42234,-0.311,0.759,1.277
42285,0.108,-0.025,1.284
42335,-1.074,-0.366,1.661
42395,-1.093,0.343,1.674
42446,-0.301,0.030,1.556
42497,-0.376,-0.658,1.347
42547,0.004,0.242,1.806
42599,0.853,-0.458,0.739
42649,0.302,0.326,0.503
42701,0.853,-0.298,0.009
42751,0.460,0.201,0.283
42803,0.725,0.191,0.591
42854,0.173,-0.381,0.613
42905,0.105,0.840,1.234
42955,-1.368,0.380,1.970
43007,-0.326,0.120,1.435
43057,-0.479,-0.138,1.578
43109,-0.114,0.171,1.448
43159,0.400,-0.050,0.273
43211,0.147,0.725,0.530
43262,1.042,-0.580,0.212
43313,0.592,-0.112,0.868
43364,0.620,-0.224,0.605
43415,-0.611,-0.180,1.120
43465,-0.164,0.227,0.899
43517,-0.815,-1.105,1.909
43567,-0.028,0.245,1.688
43623,0.790,-0.073,0.490
43674,0.250,0.148,1.168
43725,0.020,0.049,1.240
43775,-1.245,0.651,1.799
43827,-0.729,-0.469,1.365
43877,-0.783,-0.398,1.551
43929,0.674,0.195,1.129
43980,0.697,0.394,0.607
44031,0.796,0.175,0.791
44081,0.512,0.752,0.281
44133,0.656,-0.173,0.634
44183,0.211,0.226,0.535
44235,-0.377,0.644,0.944
44285,-0.272,-0.631,1.161
44337,-1.089,0.328,1.970
44387,-0.267,-0.165,1.533
44439,0.068,-0.399,0.764
44489,0.826,-0.635,0.987
44541,0.863,-0.055,0.505
44591,0.857,0.741,0.562
44643,0.515,-0.007,0.340
44694,0.623,-0.357,0.634
44745,0.228,0.892,1.046
44795,-0.032,0.365,1.189
44851,1.078,-0.281,0.761
44902,0.476,-0.398,0.334
44953,0.745,0.951,0.565
45003,0.340,-0.463,0.408
