Time(ms),Ax(g),Ay(g),Az(g)
28308,0.265,-0.643,0.842
28359,0.861,-0.619,0.571
28410,0.648,-0.274,0.380
28460,0.701,0.907,0.341
28512,0.231,-0.100,0.632
28562,0.604,-0.285,0.544
28614,-0.819,1.115,1.246
28665,-0.067,0.405,1.312
28716,-0.833,-0.279,1.892
28766,-0.950,-0.201,1.970
28822,0.247,-0.349,0.673
28874,-0.868,1.124,1.682
28925,-0.333,0.076,1.460
28975,-0.061,-0.293,1.596
29027,-0.740,0.182,1.729
29077,0.995,-0.399,0.659
29129,0.572,0.361,0.671
29180,0.911,-0.294,0.216
29231,0.499,-0.027,0.272
29282,0.340,0.469,0.670
29333,-0.163,-0.327,0.964
29383,-0.186,0.471,1.219
29435,-1.500,-0.048,1.970
29485,-0.538,-0.448,1.782
29537,0.119,-0.050,0.415
29587,0.361,-0.003,0.623
29639,1.048,-0.271,0.661
29690,0.578,-0.043,0.468
29741,0.517,-0.100,0.695
29791,-0.044,0.711,0.604
29843,-0.061,0.101,0.939
29893,-0.817,-0.695,1.679
29945,-0.561,0.352,1.900
29995,-0.198,-0.539,1.106
30052,-0.060,0.526,1.391
30103,-0.036,-0.347,1.086
30154,-1.328,-0.212,1.940
30205,-0.229,-0.046,1.076
30256,0.171,-0.717,0.484
30306,0.758,0.643,0.720
30358,0.708,0.231,0.605
30408,0.815,-0.552,0.379
30460,0.320,0.288,0.464
30511,0.417,0.024,0.489
30562,-0.053,-0.298,1.059
30612,-0.207,0.260,1.051
30664,-0.968,-0.215,1.970
30715,-0.880,-0.562,1.766
30766,0.270,-0.395,0.590
30816,0.516,-0.466,0.456
30868,0.819,1.309,0.395
30919,0.686,0.001,0.450
30970,0.644,-0.468,0.173
31020,0.082,1.189,0.554
31072,0.114,-0.054,0.669
31122,-0.407,-0.132,1.802
31174,-0.522,-0.106,1.383
31225,-0.230,-0.323,1.894
31279,0.365,-0.099,0.148
31330,0.753,-0.096,0.523
31381,0.111,0.490,0.788
31432,0.330,-0.208,1.012
31483,-1.357,-0.200,1.970
31534,-1.134,0.396,1.649
31585,0.407,-0.642,1.227
31635,0.150,0.301,1.486
