Time(ms),Ax(g),Ay(g),Az(g)
111027,1.474,-2.000,0.238
111228,1.191,-2.000,0.615
111429,0.947,-2.000,0.136
111630,0.973,-0.266,1.216
111831,0.103,0.729,1.299
112032,-0.340,0.484,1.970
112233,0.408,-2.000,1.804
112434,1.532,-0.816,1.832
112635,1.745,-0.565,1.524
112836,1.541,1.096,0.584
113037,0.433,0.870,1.077
113238,0.692,0.227,1.025
113439,0.645,-0.213,0.388
113640,0.768,-0.306,-0.216
113841,0.710,-0.512,-0.192
114042,0.716,0.110,-0.714
114243,0.478,0.144,-0.232
114444,-0.190,-0.503,0.294
114645,-1.048,-1.743,0.502
114846,-1.661,0.875,1.697
115047,-0.895,0.239,0.197
115248,-1.980,2.000,1.970
115449,-1.980,2.000,1.970
115650,-1.980,1.965,1.970
115851,-1.348,0.428,1.895
116052,0.690,-0.556,-0.016
116253,0.822,-0.303,0.263
116454,0.668,-0.110,0.521
116655,0.848,0.864,0.017
116856,1.351,2.000,0.647
117057,0.435,0.511,-0.326
117258,0.012,0.153,0.376
117459,0.793,-2.000,-0.008
117660,0.360,-2.000,0.567
117861,1.055,-2.000,1.281
118062,1.315,-1.070,1.391
118263,0.400,0.969,1.250
118464,-0.159,0.296,1.700
118665,-0.184,-1.084,1.727
118866,-0.131,-0.936,1.641
119067,0.697,-1.270,1.765
119268,1.724,-1.137,1.603
119469,1.380,1.030,1.947
119670,1.080,0.497,-0.047
119871,1.068,0.267,-0.133
120072,0.588,1.094,0.780
120273,0.709,0.428,0.701
120474,0.644,-0.547,-0.042
120675,0.973,-0.500,-0.495
120876,0.734,0.133,-0.970
121077,0.570,-0.291,-0.149
121278,0.754,0.559,-0.748
121479,-0.513,-0.046,0.073
121680,-1.004,-1.486,0.175
121881,-0.715,-0.679,-0.011
122082,-1.565,2.000,1.529
122283,-1.980,2.000,1.970
122484,-1.980,2.000,1.970
122685,-1.980,1.374,1.970
122886,-1.980,0.627,1.970
123087,0.641,-0.621,0.313
123288,0.677,-0.412,0.602
123489,-0.151,-0.327,1.970
123690,0.756,1.041,0.717
123891,1.013,2.000,0.942
124092,0.550,0.302,-0.543
124293,-0.037,0.763,0.520
124494,0.104,-2.000,0.156
124695,0.314,-2.000,0.050
124896,1.006,-2.000,0.314
125097,1.334,-1.952,0.948
125298,0.483,0.453,0.763
125499,0.355,1.320,1.014
125700,-0.353,0.406,1.076
125901,-0.064,0.676,0.632
126102,-0.553,0.562,1.237
126303,0.337,-1.880,1.761
126504,1.214,-1.521,1.662
126705,1.435,0.825,0.558
126906,0.860,0.850,0.566
127107,0.620,1.107,1.309
127308,0.849,0.567,0.628
127509,0.734,0.210,-0.048
127710,0.638,0.215,0.006
127911,0.586,-0.006,-0.132
128112,0.498,0.223,-0.039
128313,0.283,0.124,-0.674
128514,0.324,-0.572,-0.593
128715,0.054,-1.508,-1.137
128916,-0.928,-0.075,-0.431
129117,-1.186,1.895,1.619
129318,-1.980,2.000,1.970
129519,-1.980,2.000,1.970
129720,-1.980,2.000,1.970
129921,-1.980,1.801,1.970
130122,-1.432,0.501,1.970
130323,0.199,-0.606,1.600
130524,0.660,-0.330,-0.176
